tracker_name,dataset_name,stage,run_id,conf,iou,HOTA (%),MOTA (%),IDF1 (%),ID Switches,MostlyTracked,MostlyLost,FPS,Latency mean (ms),Latency 95 (ms),Peak VRAM (MB),track_high_thresh,track_buffer,match_thresh,Latency p95 (ms)
bytetrack,UCSD,2,track_high_thresh0.4_track_buffer20_match_thresh0.7,0.01,0.7,44.9,46.443,61.36,9.0,10.5,14.667,80.4,12.74,,594.4,0.4,20.0,0.7,16.66
bytetrack,UCSD,2,track_high_thresh0.4_track_buffer20_match_thresh0.8,0.01,0.7,45.668,46.852,62.733,4.667,10.833,14.667,87.0,11.9,,571.2,0.4,20.0,0.8,16.39
bytetrack,UCSD,2,track_high_thresh0.4_track_buffer20_match_thresh0.9,0.01,0.7,45.767,46.918,62.85,4.0,10.833,14.667,86.9,11.79,,692.8,0.4,20.0,0.9,16.46
bytetrack,UCSD,2,track_high_thresh0.4_track_buffer30_match_thresh0.7,0.01,0.7,44.938,46.5,61.393,8.333,10.5,14.667,82.0,12.66,,692.8,0.4,30.0,0.7,16.5
bytetrack,UCSD,2,track_high_thresh0.4_track_buffer30_match_thresh0.8,0.01,0.7,45.698,46.907,62.787,4.0,10.833,14.667,88.2,11.66,,571.2,0.4,30.0,0.8,16.24
bytetrack,UCSD,2,track_high_thresh0.4_track_buffer30_match_thresh0.9,0.01,0.7,45.693,46.962,62.597,3.167,10.833,14.667,83.0,12.37,,692.8,0.4,30.0,0.9,16.44
bytetrack,UCSD,2,track_high_thresh0.4_track_buffer40_match_thresh0.7,0.01,0.7,44.932,46.51,61.367,8.167,10.5,14.667,78.6,12.98,,692.8,0.4,40.0,0.7,16.72
bytetrack,UCSD,2,track_high_thresh0.4_track_buffer40_match_thresh0.8,0.01,0.7,45.682,46.938,62.645,3.667,10.833,14.667,91.3,11.41,,571.2,0.4,40.0,0.8,15.4
bytetrack,UCSD,2,track_high_thresh0.4_track_buffer40_match_thresh0.9,0.01,0.7,45.675,46.993,62.44,2.833,10.833,14.667,84.3,12.18,,692.8,0.4,40.0,0.9,16.49
bytetrack,UCSD,2,track_high_thresh0.4_track_buffer60_match_thresh0.7,0.01,0.7,44.92,46.52,61.367,8.167,10.5,14.667,85.1,12.12,,692.8,0.4,60.0,0.7,16.01
bytetrack,UCSD,2,track_high_thresh0.4_track_buffer60_match_thresh0.8,0.01,0.7,45.702,46.945,62.742,3.333,10.833,14.667,91.1,11.36,,571.2,0.4,60.0,0.8,16.22
bytetrack,UCSD,2,track_high_thresh0.4_track_buffer60_match_thresh0.9,0.01,0.7,45.723,47.043,62.442,2.5,10.833,14.5,79.8,12.86,,692.8,0.4,60.0,0.9,16.67
bytetrack,UCSD,2,track_high_thresh0.5_track_buffer20_match_thresh0.7,0.01,0.7,44.178,45.405,60.223,7.0,10.333,16.0,86.0,11.98,,692.8,0.5,20.0,0.7,16.4
bytetrack,UCSD,2,track_high_thresh0.5_track_buffer20_match_thresh0.8,0.01,0.7,44.742,45.453,61.233,4.5,10.5,16.0,82.5,12.25,,571.2,0.5,20.0,0.8,16.46
bytetrack,UCSD,2,track_high_thresh0.5_track_buffer20_match_thresh0.9,0.01,0.7,44.422,45.248,60.385,4.667,10.5,16.0,82.4,12.56,,692.8,0.5,20.0,0.9,16.31
bytetrack,UCSD,2,track_high_thresh0.5_track_buffer30_match_thresh0.7,0.01,0.7,44.467,45.503,60.723,5.5,10.333,15.833,90.8,11.19,,692.8,0.5,30.0,0.7,15.91
bytetrack,UCSD,2,track_high_thresh0.5_track_buffer30_match_thresh0.8,0.01,0.7,44.98,45.565,61.653,3.167,10.5,15.833,85.6,12.04,,571.2,0.5,30.0,0.8,16.36
bytetrack,UCSD,2,track_high_thresh0.5_track_buffer30_match_thresh0.9,0.01,0.7,44.712,45.372,60.788,3.0,10.5,15.833,82.5,12.37,,692.8,0.5,30.0,0.9,16.66
bytetrack,UCSD,2,track_high_thresh0.5_track_buffer40_match_thresh0.7,0.01,0.7,44.48,45.508,60.755,5.333,10.333,15.833,91.9,11.28,,692.8,0.5,40.0,0.7,16.29
bytetrack,UCSD,2,track_high_thresh0.5_track_buffer40_match_thresh0.8,0.01,0.7,44.992,45.58,61.67,3.0,10.5,15.833,80.8,12.62,,571.2,0.5,40.0,0.8,16.46
bytetrack,UCSD,2,track_high_thresh0.5_track_buffer40_match_thresh0.9,0.01,0.7,44.735,45.383,60.81,2.667,10.5,15.833,83.8,12.35,,692.8,0.5,40.0,0.9,16.39
bytetrack,UCSD,2,track_high_thresh0.5_track_buffer60_match_thresh0.7,0.01,0.7,44.465,45.508,60.755,5.333,10.333,15.833,83.5,12.22,,692.8,0.5,60.0,0.7,16.73
bytetrack,UCSD,2,track_high_thresh0.5_track_buffer60_match_thresh0.8,0.01,0.7,44.99,45.602,61.69,3.0,10.5,15.833,81.2,12.79,,571.2,0.5,60.0,0.8,16.74
bytetrack,UCSD,2,track_high_thresh0.5_track_buffer60_match_thresh0.9,0.01,0.7,44.713,45.422,60.635,2.5,10.5,15.833,89.4,11.39,,692.8,0.5,60.0,0.9,16.15
bytetrack,UCSD,2,track_high_thresh0.6_track_buffer20_match_thresh0.7,0.01,0.7,43.45,44.073,58.692,6.5,10.167,16.667,85.7,12.08,,692.8,0.6,20.0,0.7,16.44
bytetrack,UCSD,2,track_high_thresh0.6_track_buffer20_match_thresh0.8,0.01,0.7,43.932,43.93,59.505,4.5,10.333,16.833,83.4,12.32,,571.2,0.6,20.0,0.8,16.37
bytetrack,UCSD,2,track_high_thresh0.6_track_buffer20_match_thresh0.9,0.01,0.7,43.757,43.843,59.003,4.0,10.5,17.0,94.8,10.97,,692.8,0.6,20.0,0.9,15.65
bytetrack,UCSD,2,track_high_thresh0.6_track_buffer30_match_thresh0.7,0.01,0.7,43.682,44.13,59.098,5.833,10.167,16.667,81.0,12.5,,692.8,0.6,30.0,0.7,16.53
bytetrack,UCSD,2,track_high_thresh0.6_track_buffer30_match_thresh0.8,0.01,0.7,44.265,44.005,60.253,3.667,10.333,16.833,79.1,12.87,,571.2,0.6,30.0,0.8,16.24
bytetrack,UCSD,2,track_high_thresh0.6_track_buffer30_match_thresh0.9,0.01,0.7,44.097,43.913,59.673,3.167,10.5,17.0,85.4,11.94,,692.8,0.6,30.0,0.9,16.35
bytetrack,UCSD,2,track_high_thresh0.6_track_buffer40_match_thresh0.7,0.01,0.7,43.697,44.137,59.132,5.667,10.167,16.667,83.2,12.38,,692.8,0.6,40.0,0.7,16.38
bytetrack,UCSD,2,track_high_thresh0.6_track_buffer40_match_thresh0.8,0.01,0.7,44.282,44.045,60.32,3.5,10.333,16.833,87.8,11.62,,571.2,0.6,40.0,0.8,16.38
bytetrack,UCSD,2,track_high_thresh0.6_track_buffer40_match_thresh0.9,0.01,0.7,44.11,43.953,59.708,3.0,10.5,17.0,86.6,11.91,,692.8,0.6,40.0,0.9,16.39
bytetrack,UCSD,2,track_high_thresh0.6_track_buffer60_match_thresh0.7,0.01,0.7,43.682,44.14,59.135,5.667,10.167,16.667,82.0,12.45,,692.8,0.6,60.0,0.7,16.92
bytetrack,UCSD,2,track_high_thresh0.6_track_buffer60_match_thresh0.8,0.01,0.7,44.262,44.05,60.323,3.5,10.333,16.833,89.6,11.46,,571.2,0.6,60.0,0.8,16.24
bytetrack,UCSD,2,track_high_thresh0.6_track_buffer60_match_thresh0.9,0.01,0.7,44.083,43.975,59.618,3.0,10.5,17.0,81.1,12.63,,692.8,0.6,60.0,0.9,16.72
bytetrack,UCSD,2,track_high_thresh0.7_track_buffer20_match_thresh0.7,0.01,0.7,42.398,42.037,56.777,5.167,9.833,17.5,87.2,11.8,,692.8,0.7,20.0,0.7,16.37
